Boat,Date,Secs,LocalTime,Zone,Lat,Lon,Hdg,Heel,Pitch,COG,SOG,CourseWindDirection,CourseWindSpeed,yHdg,ySpeed,yTWS,yTWD,yAWS,yAWA,yTWA,ySOG,yCOG,yRudder
ENT,27:05:2017,55806.500,15:30:06.500,-03,32.3088665,-64.8441495,270.9,0.0,0.0,9.4,2.74,257.2,10.4,0.0,2.8,12.2,262.8,12.7,-15.0,10.2,0.0,0.0,0.0
ENT,27:05:2017,55807.000,15:30:07.000,-03,32.3088617,-64.8441515,272.6,0.0,0.0,198.7,3.09,257.3,10.4,0.0,3.1,12.3,265.1,13.1,-9.0,9.6,0.0,0.0,0.0
ENT,27:05:2017,55807.500,15:30:07.500,-03,32.3088647,-64.8441502,273.7,0.0,0.0,183.9,0.25,257.3,10.4,0.0,0.3,12.3,265.1,13.1,-9.0,9.6,0.0,0.0,0.0
ENT,27:05:2017,55808.000,15:30:08.000,-03,32.3088676,-64.8441503,275.7,0.0,0.0,17.8,2.43,257.3,10.4,0.0,2.4,12.4,265.2,12.6,-8.0,6.8,0.0,0.0,0.0
ENT,27:05:2017,55808.500,15:30:08.500,-03,32.3088649,-64.8441520,277.8,0.0,0.0,287.7,0.60,257.4,10.4,0.0,0.6,12.4,265.2,12.6,-8.0,6.8,0.0,0.0,0.0
ENT,27:05:2017,55809.000,15:30:09.000,-03,32.3088637,-64.8441527,279.4,0.0,0.0,192.1,1.56,257.4,10.4,0.0,1.6,12.4,266.1,12.7,-21.0,4.8,0.0,0.0,0.0
ENT,27:05:2017,55809.500,15:30:09.500,-03,32.3088654,-64.8441519,280.9,0.0,0.0,357.0,0.78,257.5,10.4,0.0,0.8,12.4,266.1,12.7,-21.0,4.8,0.0,0.0,0.0
ENT,27:05:2017,55810.000,15:30:10.000,-03,32.3088690,-64.8441508,282.2,0.0,0.0,23.4,1.28,257.5,10.4,0.0,1.3,12.3,266.4,11.6,-15.0,2.2,0.0,0.0,0.0
ENT,27:05:2017,55810.500,15:30:10.500,-03,32.3088682,-64.8441510,283.6,0.0,0.0,12.5,1.50,257.6,10.3,0.0,1.5,12.3,266.4,11.6,-15.0,2.2,0.0,0.0,0.0
ENT,27:05:2017,55811.000,15:30:11.000,-03,32.3088644,-64.8441535,285.3,0.0,0.0,200.4,1.98,257.6,10.3,0.0,2.0,12.2,267.4,11.4,-27.0,0.2,0.0,0.0,0.0
ENT,27:05:2017,55811.500,15:30:11.500,-03,32.3088681,-64.8441533,286.2,0.0,0.0,228.7,0.82,257.7,10.3,0.0,0.8,12.2,267.4,11.4,-27.0,0.2,0.0,0.0,0.0
ENT,27:05:2017,55812.000,15:30:12.000,-03,32.3088740,-64.8441517,286.9,0.0,0.0,11.8,3.42,257.8,10.3,0.0,3.4,12.1,266.6,10.7,-17.0,-3.2,0.0,0.0,0.0
ENT,27:05:2017,55812.500,15:30:12.500,-03,32.3088701,-64.8441524,288.3,0.0,0.0,2.6,0.54,257.8,10.3,0.0,0.6,12.1,266.6,10.7,-17.0,-3.2,0.0,0.0,0.0
ENT,27:05:2017,55813.000,15:30:13.000,-03,32.3088675,-64.8441532,289.4,0.0,0.0,189.2,3.05,257.9,10.3,0.0,3.1,12.0,267.9,11.6,-33.0,-4.6,0.0,0.0,0.0
ENT,27:05:2017,55813.500,15:30:13.500,-03,32.3088741,-64.8441519,289.8,0.0,0.0,3.8,1.32,257.9,10.3,0.0,1.3,12.0,267.9,11.6,-33.0,-4.6,0.0,0.0,0.0
ENT,27:05:2017,55814.000,15:30:14.000,-03,32.3088780,-64.8441515,290.0,0.0,0.0,10.9,3.81,258.0,10.3,0.0,3.8,12.1,267.9,12.6,-12.0,-7.1,0.0,0.0,0.0
ENT,27:05:2017,55814.500,15:30:14.500,-03,32.3088741,-64.8441535,290.7,0.0,0.0,224.6,0.51,258.0,10.2,0.0,0.5,12.1,267.9,12.6,-12.0,-7.1,0.0,0.0,0.0
ENT,27:05:2017,55815.000,15:30:15.000,-03,32.3088728,-64.8441524,290.6,0.0,0.0,195.3,2.08,258.1,10.2,0.0,2.1,12.3,268.4,14.3,-32.0,-8.7,0.0,0.0,0.0
ENT,27:05:2017,55815.500,15:30:15.500,-03,32.3088802,-64.8441503,289.9,0.0,0.0,36.7,2.14,258.1,10.2,0.0,2.1,12.3,268.4,14.3,-32.0,-8.7,0.0,0.0,0.0
ENT,27:05:2017,55816.000,15:30:16.000,-03,32.3088840,-64.8441501,289.6,0.0,0.0,2.9,3.52,258.1,10.2,0.0,3.5,12.4,268.6,14.2,-11.0,-10.4,0.0,0.0,0.0
ENT,27:05:2017,55816.500,15:30:16.500,-03,32.3088790,-64.8441518,289.9,0.0,0.0,194.1,0.74,258.1,10.2,0.0,0.8,12.4,268.6,14.2,-11.0,-10.4,0.0,0.0,0.0
ENT,27:05:2017,55817.000,15:30:17.000,-03,32.3088782,-64.8441517,289.4,0.0,0.0,199.4,3.01,258.2,10.2,0.0,3.0,12.7,269.1,15.7,-33.0,-11.6,0.0,0.0,0.0
ENT,27:05:2017,55817.500,15:30:17.500,-03,32.3088877,-64.8441481,288.0,0.0,0.0,23.0,2.37,258.2,10.2,0.0,2.4,12.7,269.1,15.7,-33.0,-11.6,0.0,0.0,0.0
