Boat,Date,Secs,LocalTime,Zone,Lat,Lon,Hdg,Heel,Pitch,COG,SOG,CourseWindDirection,CourseWindSpeed,yHdg,ySpeed,yTWS,yTWD,yAWS,yAWA,yTWA,ySOG,yCOG,yRudder
JPN,27:05:2017,57608.203,16:00:08.203,-03,32.2861320,-64.8464530,232.8,1.1,0.0,166.0,1.48,247.3,10.4,0.0,0.5,13.2,251.2,14.3,12.0,18.0,0.0,0.0,-12.0
JPN,27:05:2017,57608.403,16:00:08.403,-03,32.2861306,-64.8464526,232.8,1.3,-0.1,165.7,1.46,247.3,10.4,0.0,0.5,13.2,251.2,14.3,12.0,18.0,0.0,0.0,-12.0
JPN,27:05:2017,57608.603,16:00:08.603,-03,32.2861294,-64.8464522,232.8,1.5,-0.3,165.7,1.48,247.3,10.4,0.0,0.5,13.2,251.2,14.3,12.0,18.0,0.0,0.0,-12.0
JPN,27:05:2017,57608.803,16:00:08.803,-03,32.2861280,-64.8464518,232.9,1.7,-0.6,167.6,1.44,247.3,10.4,0.0,0.5,13.2,251.6,14.6,13.6,18.7,0.0,0.0,-12.0
JPN,27:05:2017,57609.003,16:00:09.003,-03,32.2861267,-64.8464515,233.0,1.9,-0.8,167.5,1.48,247.3,10.4,0.0,0.5,13.2,251.6,14.6,13.6,18.7,0.0,0.0,-12.0
JPN,27:05:2017,57609.203,16:00:09.203,-03,32.2861257,-64.8464510,233.2,2.0,-1.0,166.2,1.52,247.3,10.4,0.0,0.5,13.2,251.6,14.6,13.6,18.7,0.0,0.0,-12.0
JPN,27:05:2017,57609.403,16:00:09.403,-03,32.2861243,-64.8464505,233.3,2.0,-1.0,164.2,1.56,247.3,10.4,0.0,0.5,13.2,251.6,14.6,13.6,18.7,0.0,0.0,-12.0
JPN,27:05:2017,57609.603,16:00:09.603,-03,32.2861229,-64.8464501,233.4,2.1,-0.9,162.9,1.52,247.3,10.4,0.0,0.5,13.2,251.6,14.6,13.6,18.7,0.0,0.0,-12.0
JPN,27:05:2017,57609.803,16:00:09.803,-03,32.2861216,-64.8464496,233.4,2.0,-0.7,162.0,1.48,247.4,10.4,0.0,0.5,13.0,251.6,14.4,12.6,19.1,0.0,0.0,-12.0
JPN,27:05:2017,57610.003,16:00:10.003,-03,32.2861203,-64.8464491,233.3,1.9,-0.4,160.5,1.46,247.4,10.4,0.0,0.5,13.0,251.6,14.4,12.6,19.1,0.0,0.0,-12.0
