Boat,Date,Secs,LocalTime,Zone,Lat,Lon,Hdg,Heel,Pitch,COG,SOG,CourseWindDirection,CourseWindSpeed,yHdg,ySpeed,yTWS,yTWD,yAWS,yAWA,yTWA,ySOG,yCOG,yRudder
GBR,29:05:2017,54061.197,15:01:01.197,-03,32.3166554,-64.8279104,15.1,-1.1,-0.4,21.6,8.46,250.6,13.6,0.0,8.1,11.6,255.4,9.3,-83.1,-127.0,0.0,0.0,0.0
GBR,29:05:2017,54061.397,15:01:01.397,-03,32.3166627,-64.8279071,14.9,-1.1,-0.6,21.4,8.42,250.6,13.6,0.0,8.1,11.6,255.4,9.3,-83.1,-127.0,0.0,0.0,0.0
GBR,29:05:2017,54061.597,15:01:01.597,-03,32.3166700,-64.8279037,14.8,-1.1,-0.7,21.3,8.34,250.6,13.6,0.0,8.1,11.6,255.4,9.3,-83.1,-127.0,0.0,0.0,0.0
GBR,29:05:2017,54061.797,15:01:01.797,-03,32.3166772,-64.8279003,14.6,-1.0,-0.5,21.6,8.30,250.6,13.6,0.0,8.1,11.6,255.4,9.3,-83.1,-127.0,0.0,0.0,0.0
GBR,29:05:2017,54061.997,15:01:01.997,-03,32.3166843,-64.8278970,14.3,-1.0,-0.3,21.6,8.28,250.6,13.6,0.0,8.1,11.6,255.4,9.3,-83.1,-127.0,0.0,0.0,0.0
GBR,29:05:2017,54062.197,15:01:02.197,-03,32.3166915,-64.8278933,14.1,-1.0,0.0,21.2,8.32,250.6,13.6,0.0,8.2,11.6,255.4,9.6,-80.9,-125.1,0.0,0.0,0.0
GBR,29:05:2017,54062.397,15:01:02.397,-03,32.3166988,-64.8278901,13.7,-1.1,0.2,20.5,8.36,250.6,13.5,0.0,8.2,11.6,255.4,9.6,-80.9,-125.1,0.0,0.0,0.0
GBR,29:05:2017,54062.597,15:01:02.597,-03,32.3167061,-64.8278869,13.4,-1.3,0.2,20.1,8.42,250.6,13.5,0.0,8.2,11.6,255.4,9.6,-80.9,-125.1,0.0,0.0,0.0
GBR,29:05:2017,54062.797,15:01:02.797,-03,32.3167134,-64.8278837,13.2,-1.5,0.2,20.1,8.48,250.6,13.5,0.0,8.2,11.6,255.4,9.6,-80.9,-125.1,0.0,0.0,0.0
GBR,29:05:2017,54062.997,15:01:02.997,-03,32.3167208,-64.8278806,12.9,-1.6,0.1,20.0,8.48,250.6,13.5,0.0,8.2,11.6,255.4,9.6,-80.9,-125.1,0.0,0.0,0.0
GBR,29:05:2017,54063.197,15:01:03.197,-03,32.3167282,-64.8278770,12.7,-1.6,0.0,20.0,8.48,250.6,13.5,0.0,8.2,11.6,255.4,9.7,-79.9,-124.0,0.0,0.0,0.0
GBR,29:05:2017,54063.397,15:01:03.397,-03,32.3167356,-64.8278739,12.6,-1.5,0.0,19.7,8.48,250.6,13.5,0.0,8.2,11.6,255.4,9.7,-79.9,-124.0,0.0,0.0,0.0
GBR,29:05:2017,54063.597,15:01:03.597,-03,32.3167430,-64.8278708,12.4,-1.3,0.0,19.1,8.51,250.6,13.5,0.0,8.2,11.6,255.4,9.7,-79.9,-124.0,0.0,0.0,0.0
GBR,29:05:2017,54063.797,15:01:03.797,-03,32.3167506,-64.8278677,12.3,-1.1,0.1,18.8,8.57,250.6,13.5,0.0,8.2,11.6,255.4,9.7,-79.9,-124.0,0.0,0.0,0.0
GBR,29:05:2017,54063.997,15:01:03.997,-03,32.3167581,-64.8278647,12.1,-1.1,0.1,18.7,8.63,250.6,13.5,0.0,8.2,11.6,255.4,9.7,-79.9,-124.0,0.0,0.0,0.0
