Boat,Date,Secs,LocalTime,Zone,Lat,Lon,Hdg,Heel,Pitch,COG,SOG,CourseWindDirection,CourseWindSpeed,yHdg,ySpeed,yTWS,yTWD,yAWS,yAWA,yTWA,ySOG,yCOG,yRudder
FRA,27:05:2017,57608.200,16:00:08.200,-03,32.3212620,-64.8381547,211.7,0.9,-1.0,200.4,0.43,247.3,10.4,0.0,0.4,13.7,224.2,0.0,-79.6,-44.9,0.0,0.0,-63.4
FRA,27:05:2017,57608.400,16:00:08.400,-03,32.3212617,-64.8381548,211.3,0.8,-1.0,197.5,0.43,247.3,10.4,0.0,0.4,12.8,235.8,0.0,-36.9,-21.2,0.0,0.0,-63.4
FRA,27:05:2017,57608.600,16:00:08.600,-03,32.3212613,-64.8381550,210.9,0.7,-1.0,193.7,0.45,247.3,10.4,0.0,0.4,12.8,235.8,0.0,-36.9,-21.2,0.0,0.0,-63.4
FRA,27:05:2017,57608.800,16:00:08.800,-03,32.3212609,-64.8381551,210.6,0.6,-1.0,190.7,0.51,247.3,10.4,0.0,0.4,12.8,235.8,0.0,-36.9,-21.2,0.0,0.0,-63.4
FRA,27:05:2017,57609.000,16:00:09.000,-03,32.3212604,-64.8381552,210.3,0.5,-1.0,189.7,0.51,247.3,10.4,0.0,0.4,12.8,235.8,0.0,-36.9,-21.2,0.0,0.0,-63.4
FRA,27:05:2017,57609.200,16:00:09.200,-03,32.3212599,-64.8381557,210.0,0.5,-1.0,188.4,0.52,247.3,10.4,0.0,0.4,12.8,235.8,0.0,-36.9,-21.2,0.0,0.0,-63.4
FRA,27:05:2017,57609.400,16:00:09.400,-03,32.3212594,-64.8381558,209.8,0.5,-1.0,187.9,0.52,247.3,10.4,0.0,0.5,11.4,231.7,0.0,0.0,1.3,0.0,0.0,-63.4
FRA,27:05:2017,57609.600,16:00:09.600,-03,32.3212589,-64.8381559,209.6,0.5,-1.0,188.2,0.52,247.3,10.4,0.0,0.5,11.4,231.7,0.0,0.0,1.3,0.0,0.0,-63.4
FRA,27:05:2017,57609.800,16:00:09.800,-03,32.3212584,-64.8381559,209.4,0.6,-1.0,186.2,0.54,247.4,10.4,0.0,0.5,11.4,231.7,0.0,0.0,1.3,0.0,0.0,-63.4
FRA,27:05:2017,57610.000,16:00:10.000,-03,32.3212578,-64.8381560,209.3,0.6,-1.0,180.6,0.54,247.4,10.4,0.0,0.5,11.4,231.7,0.0,0.0,1.3,0.0,0.0,-63.4
