Boat,Date,Secs,LocalTime,Zone,Lat,Lon,Hdg,Heel,Pitch,COG,SOG,CourseWindDirection,CourseWindSpeed,yHdg,ySpeed,yTWS,yTWD,yAWS,yAWA,yTWA,ySOG,yCOG,yRudder
LG1,27:05:2017,57608.500,16:00:08.500,-03,32.3058002,-64.8280997,247.7,0.0,0.0,241.3,0.97,247.3,10.4,0.0,1.0,14.3,255.7,14.7,8.0,-11.7,0.0,0.0,0.0
LG1,27:05:2017,57609.000,16:00:09.000,-03,32.3058025,-64.8280971,245.3,0.0,0.0,349.7,2.06,247.3,10.4,0.0,2.1,14.4,255.9,16.8,9.0,-9.6,0.0,0.0,0.0
LG1,27:05:2017,57609.500,16:00:09.500,-03,32.3057988,-64.8280937,243.0,0.0,0.0,108.6,2.12,247.3,10.4,0.0,2.1,14.4,255.9,16.8,9.0,-9.6,0.0,0.0,0.0
LG1,27:05:2017,57610.000,16:00:10.000,-03,32.3057972,-64.8280956,241.3,0.0,0.0,177.4,2.02,247.4,10.4,0.0,2.0,14.6,256.0,14.3,11.0,-7.1,0.0,0.0,0.0
LG1,27:05:2017,57610.500,16:00:10.500,-03,32.3058009,-64.8280978,239.2,0.0,0.0,306.7,1.24,247.4,10.4,0.0,1.3,14.6,256.0,14.3,11.0,-7.1,0.0,0.0,0.0
LG1,27:05:2017,57611.000,16:00:11.000,-03,32.3058014,-64.8280970,236.9,0.0,0.0,344.0,1.87,247.4,10.4,0.0,1.9,14.7,256.0,16.7,21.0,-4.6,0.0,0.0,0.0
LG1,27:05:2017,57611.500,16:00:11.500,-03,32.3057963,-64.8280925,234.4,0.0,0.0,141.8,2.47,247.5,10.4,0.0,2.5,14.7,256.0,16.7,21.0,-4.6,0.0,0.0,0.0
LG1,27:05:2017,57612.000,16:00:12.000,-03,32.3057963,-64.8280926,232.1,0.0,0.0,140.6,2.51,247.5,10.4,0.0,2.5,14.8,256.3,14.6,18.0,-1.5,0.0,0.0,0.0
LG1,27:05:2017,57612.500,16:00:12.500,-03,32.3057988,-64.8280958,230.1,0.0,0.0,314.5,1.63,247.5,10.4,0.0,1.6,14.8,256.3,14.6,18.0,-1.5,0.0,0.0,0.0
LG1,27:05:2017,57613.000,16:00:13.000,-03,32.3057965,-64.8280946,228.0,0.0,0.0,261.5,0.54,247.6,10.4,0.0,0.6,14.8,256.4,16.2,32.0,1.4,0.0,0.0,0.0
LG1,27:05:2017,57613.500,16:00:13.500,-03,32.3057946,-64.8280913,225.6,0.0,0.0,138.6,2.39,247.6,10.4,0.0,2.4,14.8,256.4,16.2,32.0,1.4,0.0,0.0,0.0
LG1,27:05:2017,57614.000,16:00:14.000,-03,32.3057964,-64.8280915,223.5,0.0,0.0,59.1,0.82,247.6,10.4,0.0,0.8,14.9,256.7,14.7,28.0,4.8,0.0,0.0,0.0
LG1,27:05:2017,57614.500,16:00:14.500,-03,32.3057927,-64.8280910,222.0,0.0,0.0,254.8,0.29,247.6,10.4,0.0,0.3,14.9,256.7,14.7,28.0,4.8,0.0,0.0,0.0
LG1,27:05:2017,57615.000,16:00:15.000,-03,32.3057907,-64.8280906,220.2,0.0,0.0,169.0,2.70,247.7,10.4,0.0,2.7,15.0,257.0,15.6,37.0,8.1,0.0,0.0,0.0
LG1,27:05:2017,57615.500,16:00:15.500,-03,32.3057931,-64.8280912,218.8,0.0,0.0,347.2,1.22,247.7,10.4,0.0,1.2,15.0,257.0,15.6,37.0,8.1,0.0,0.0,0.0
LG1,27:05:2017,57616.000,16:00:16.000,-03,32.3057905,-64.8280887,217.8,0.0,0.0,23.2,0.08,247.7,10.4,0.0,0.1,15.0,257.0,15.1,42.0,11.0,0.0,0.0,0.0
LG1,27:05:2017,57616.500,16:00:16.500,-03,32.3057854,-64.8280847,216.5,0.0,0.0,140.3,2.88,247.7,10.4,0.0,2.9,15.0,257.0,15.1,42.0,11.0,0.0,0.0,0.0
LG1,27:05:2017,57617.000,16:00:17.000,-03,32.3057841,-64.8280894,215.4,0.0,0.0,168.8,2.02,247.8,10.4,0.0,2.0,15.0,257.5,13.7,35.0,14.4,0.0,0.0,0.0
LG1,27:05:2017,57617.500,16:00:17.500,-03,32.3057844,-64.8280909,214.7,0.0,0.0,279.6,2.78,247.8,10.4,0.0,2.8,15.0,257.5,13.7,35.0,14.4,0.0,0.0,0.0
LG1,27:05:2017,57618.000,16:00:18.000,-03,32.3057806,-64.8280841,214.4,0.0,0.0,112.3,2.10,247.8,10.4,0.0,2.1,14.8,257.2,16.2,43.0,16.9,0.0,0.0,0.0
LG1,27:05:2017,57618.500,16:00:18.500,-03,32.3057752,-64.8280842,214.4,0.0,0.0,136.1,3.11,247.8,10.4,0.0,3.1,14.8,257.2,16.2,43.0,16.9,0.0,0.0,0.0
LG1,27:05:2017,57619.000,16:00:19.000,-03,32.3057739,-64.8280884,214.6,0.0,0.0,219.8,3.17,247.9,10.4,0.0,3.2,14.9,257.5,14.2,32.0,19.4,0.0,0.0,0.0
