Boat,Date,Secs,LocalTime,Zone,Lat,Lon,Hdg,Heel,Pitch,COG,SOG,CourseWindDirection,CourseWindSpeed,yHdg,ySpeed,yTWS,yTWD,yAWS,yAWA,yTWA,ySOG,yCOG,yRudder
PRO,27:05:2017,57608.500,16:00:08.500,-03,32.3071624,-64.8443634,187.9,0.0,0.0,101.3,2.43,247.3,10.4,0.0,2.4,11.3,251.6,12.3,68.0,63.7,0.0,0.0,0.0
PRO,27:05:2017,57609.000,16:00:09.000,-03,32.3071629,-64.8443638,187.9,0.0,0.0,80.8,1.05,247.3,10.4,0.0,1.1,11.3,265.7,9.0,73.0,77.2,0.0,0.0,0.0
PRO,27:05:2017,57609.500,16:00:09.500,-03,32.3071630,-64.8443653,187.9,0.0,0.0,282.5,1.13,247.3,10.4,0.0,1.1,11.3,265.7,9.0,73.0,77.2,0.0,0.0,0.0
PRO,27:05:2017,57610.000,16:00:10.000,-03,32.3071621,-64.8443612,187.9,0.0,0.0,123.2,0.37,247.4,10.4,0.0,0.4,10.3,259.7,11.4,74.0,71.8,0.0,0.0,0.0
PRO,27:05:2017,57610.500,16:00:10.500,-03,32.3071616,-64.8443565,187.8,0.0,0.0,100.3,2.41,247.4,10.4,0.0,2.4,10.3,259.7,11.4,74.0,71.8,0.0,0.0,0.0
PRO,27:05:2017,57611.000,16:00:11.000,-03,32.3071623,-64.8443565,187.8,0.0,0.0,84.0,0.89,247.4,10.4,0.0,0.9,11.3,262.6,9.0,70.0,74.7,0.0,0.0,0.0
PRO,27:05:2017,57611.500,16:00:11.500,-03,32.3071628,-64.8443579,187.2,0.0,0.0,297.0,0.76,247.5,10.4,0.0,0.8,11.3,262.6,9.0,70.0,74.7,0.0,0.0,0.0
PRO,27:05:2017,57612.000,16:00:12.000,-03,32.3071621,-64.8443542,187.2,0.0,0.0,118.8,0.43,247.5,10.4,0.0,0.4,10.1,262.5,10.7,77.0,74.7,0.0,0.0,0.0
PRO,27:05:2017,57612.500,16:00:12.500,-03,32.3071618,-64.8443499,186.7,0.0,0.0,98.3,2.06,247.5,10.4,0.0,2.1,10.1,262.5,10.7,77.0,74.7,0.0,0.0,0.0
PRO,27:05:2017,57613.000,16:00:13.000,-03,32.3071618,-64.8443488,186.7,0.0,0.0,91.3,1.26,247.6,10.4,0.0,1.3,12.8,264.8,10.8,75.0,77.6,0.0,0.0,0.0
