Boat,Date,Secs,LocalTime,Zone,Lat,Lon,Hdg,Heel,Pitch,COG,SOG,CourseWindDirection,CourseWindSpeed,yHdg,ySpeed,yTWS,yTWD,yAWS,yAWA,yTWA,ySOG,yCOG,yRudder
NZL,27:05:2017,59345.998,16:29:05.998,-03,32.3219550,-64.8325858,271.6,-0.5,-0.2,270.7,5.27,251.7,10.8,0.0,5.5,13.6,260.4,20.1,-7.6,-10.1,0.0,0.0,-20.0
NZL,27:05:2017,59346.198,16:29:06.198,-03,32.3219546,-64.8325914,271.6,-0.4,-0.1,271.6,5.15,251.8,10.8,0.0,5.5,13.6,260.4,20.1,-7.6,-10.1,0.0,0.0,-20.0
NZL,27:05:2017,59346.398,16:29:06.398,-03,32.3219547,-64.8325971,271.7,-0.3,0.1,271.8,5.09,251.8,10.8,0.0,5.5,13.6,260.4,20.1,-7.6,-10.1,0.0,0.0,-20.0
NZL,27:05:2017,59346.598,16:29:06.598,-03,32.3219549,-64.8326026,271.8,-0.2,0.2,271.2,5.05,251.9,10.8,0.0,5.5,13.6,260.4,20.1,-7.6,-10.1,0.0,0.0,-20.0
NZL,27:05:2017,59346.798,16:29:06.798,-03,32.3219549,-64.8326081,272.0,-0.1,0.3,270.4,5.05,251.9,10.8,0.0,5.1,13.1,260.8,19.7,-7.4,-12.9,0.0,0.0,-20.0
NZL,27:05:2017,59346.998,16:29:06.998,-03,32.3219550,-64.8326137,272.2,-0.1,0.2,270.5,5.05,252.0,10.8,0.0,5.1,13.1,260.8,19.7,-7.4,-12.9,0.0,0.0,-20.0
NZL,27:05:2017,59347.198,16:29:07.198,-03,32.3219545,-64.8326191,272.4,-0.1,0.0,270.9,5.02,252.1,10.8,0.0,5.1,13.1,260.8,19.7,-7.4,-12.9,0.0,0.0,-20.0
NZL,27:05:2017,59347.398,16:29:07.398,-03,32.3219546,-64.8326246,272.5,-0.1,-0.2,271.4,4.94,252.1,10.8,0.0,5.1,13.1,260.8,19.7,-7.4,-12.9,0.0,0.0,-20.0
NZL,27:05:2017,59347.598,16:29:07.598,-03,32.3219547,-64.8326299,272.5,-0.1,-0.3,272.1,4.84,252.2,10.7,0.0,5.1,13.1,260.8,19.7,-7.4,-12.9,0.0,0.0,-20.0
NZL,27:05:2017,59347.798,16:29:07.798,-03,32.3219549,-64.8326352,272.4,-0.1,-0.3,272.6,4.74,252.2,10.7,0.0,4.8,13.2,261.7,19.4,-7.0,-10.6,0.0,0.0,-19.0
NZL,27:05:2017,59347.998,16:29:07.998,-03,32.3219551,-64.8326403,272.2,-0.1,-0.3,272.8,4.67,252.3,10.7,0.0,4.8,13.2,261.7,19.4,-7.0,-10.6,0.0,0.0,-19.0
NZL,27:05:2017,59348.198,16:29:08.198,-03,32.3219550,-64.8326453,272.1,-0.1,-0.2,272.2,4.61,252.4,10.7,0.0,4.8,13.2,261.7,19.4,-7.0,-10.6,0.0,0.0,-19.0
NZL,27:05:2017,59348.398,16:29:08.398,-03,32.3219551,-64.8326504,272.1,-0.1,-0.2,271.6,4.55,252.4,10.7,0.0,4.8,13.2,261.7,19.4,-7.0,-10.6,0.0,0.0,-19.0
NZL,27:05:2017,59348.598,16:29:08.598,-03,32.3219552,-64.8326553,272.2,-0.1,-0.3,271.3,4.49,252.5,10.7,0.0,4.8,13.2,261.7,19.4,-7.0,-10.6,0.0,0.0,-19.0
