Boat,Date,Secs,LocalTime,Zone,Lat,Lon,Hdg,Heel,Pitch,COG,SOG,CourseWindDirection,CourseWindSpeed,yHdg,ySpeed,yTWS,yTWD,yAWS,yAWA,yTWA,ySOG,yCOG,yRudder
USA,28:05:2017,50702.600,14:05:02.600,-03,32.3030747,-64.8506256,247.1,0.0,-0.3,258.0,6.69,245.1,10.2,0.0,6.7,10.9,235.3,18.0,-7.8,-19.5,0.0,0.0,-8.0
USA,28:05:2017,50702.800,14:05:02.800,-03,32.3030734,-64.8506327,246.7,0.0,-0.2,258.1,6.55,245.2,10.2,0.0,6.7,10.9,235.3,18.0,-7.8,-19.5,0.0,0.0,-8.0
USA,28:05:2017,50703.000,14:05:03.000,-03,32.3030721,-64.8506397,246.3,0.1,-0.1,258.3,6.51,245.2,10.2,0.0,6.7,10.9,235.3,18.0,-7.8,-19.5,0.0,0.0,-8.0
USA,28:05:2017,50703.200,14:05:03.200,-03,32.3030695,-64.8506464,246.0,0.1,0.0,257.9,6.47,245.3,10.2,0.0,6.7,10.9,235.3,18.0,-7.8,-19.5,0.0,0.0,-8.0
USA,28:05:2017,50703.400,14:05:03.400,-03,32.3030683,-64.8506533,245.7,0.0,0.0,258.0,6.45,245.3,10.2,0.0,6.7,10.9,235.3,18.0,-7.8,-19.5,0.0,0.0,-8.0
USA,28:05:2017,50703.600,14:05:03.600,-03,32.3030670,-64.8506601,245.4,-0.1,-0.1,257.6,6.40,245.4,10.2,0.0,6.7,10.9,235.3,18.0,-7.8,-19.5,0.0,0.0,-8.0
USA,28:05:2017,50703.800,14:05:03.800,-03,32.3030657,-64.8506669,245.1,-0.2,-0.1,257.0,6.30,245.4,10.2,0.0,6.2,10.9,235.1,17.5,-5.7,-17.8,0.0,0.0,-8.0
USA,28:05:2017,50704.000,14:05:04.000,-03,32.3030644,-64.8506736,244.8,-0.1,-0.2,256.4,6.20,245.5,10.2,0.0,6.2,10.9,235.1,17.5,-5.7,-17.8,0.0,0.0,-8.0
USA,28:05:2017,50704.200,14:05:04.200,-03,32.3030618,-64.8506796,244.6,0.1,-0.1,255.1,6.08,245.5,10.2,0.0,6.2,10.9,235.1,17.5,-5.7,-17.8,0.0,0.0,-8.0
USA,28:05:2017,50704.400,14:05:04.400,-03,32.3030604,-64.8506860,244.4,0.3,0.1,254.5,6.05,245.5,10.2,0.0,6.2,10.9,235.1,17.5,-5.7,-17.8,0.0,0.0,-8.0
USA,28:05:2017,50704.600,14:05:04.600,-03,32.3030589,-64.8506923,244.2,0.5,0.1,254.8,6.08,245.5,10.2,0.0,6.2,10.9,235.1,17.5,-5.7,-17.8,0.0,0.0,-8.0
USA,28:05:2017,50704.800,14:05:04.800,-03,32.3030574,-64.8506988,243.9,0.5,-0.1,254.9,6.12,245.6,10.2,0.0,5.8,10.9,234.9,17.2,-5.8,-16.7,0.0,0.0,-8.0
USA,28:05:2017,50705.000,14:05:05.000,-03,32.3030559,-64.8507052,243.4,0.5,-0.4,254.8,6.10,245.6,10.2,0.0,5.8,10.9,234.9,17.2,-5.8,-16.7,0.0,0.0,-8.0
USA,28:05:2017,50705.200,14:05:05.200,-03,32.3030535,-64.8507109,242.9,0.4,-0.7,253.9,5.97,245.6,10.2,0.0,5.8,10.9,234.9,17.2,-5.8,-16.7,0.0,0.0,-8.0
USA,28:05:2017,50705.400,14:05:05.400,-03,32.3030520,-64.8507170,242.5,0.5,-0.8,253.6,5.81,245.6,10.2,0.0,5.8,10.9,234.9,17.2,-5.8,-16.7,0.0,0.0,-8.0
USA,28:05:2017,50705.600,14:05:05.600,-03,32.3030505,-64.8507230,242.0,0.8,-0.8,253.3,5.70,245.7,10.2,0.0,5.8,10.9,234.9,17.2,-5.8,-16.7,0.0,0.0,-8.0
