Boat,Date,Secs,LocalTime,Zone,Lat,Lon,Hdg,Heel,Pitch,COG,SOG,CourseWindDirection,CourseWindSpeed,yHdg,ySpeed,yTWS,yTWD,yAWS,yAWA,yTWA,ySOG,yCOG,yRudder
MIS,28:05:2017,54073.500,15:01:13.500,-03,32.3077710,-64.8416318,227.0,0.0,0.0,264.7,1.65,236.0,11.6,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIS,28:05:2017,54074.000,15:01:14.000,-03,32.3077692,-64.8416353,226.5,0.0,0.0,263.8,1.87,236.0,11.6,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIS,28:05:2017,54074.500,15:01:14.500,-03,32.3077662,-64.8416374,226.2,0.0,0.0,206.8,1.57,236.0,11.7,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIS,28:05:2017,54075.000,15:01:15.000,-03,32.3077637,-64.8416399,226.3,0.0,0.0,218.8,1.38,236.0,11.7,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIS,28:05:2017,54075.500,15:01:15.500,-03,32.3077608,-64.8416414,226.4,0.0,0.0,213.1,1.56,236.0,11.7,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIS,28:05:2017,54076.000,15:01:16.000,-03,32.3077620,-64.8416446,226.5,0.0,0.0,234.6,0.82,236.0,11.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIS,28:05:2017,54076.500,15:01:16.500,-03,32.3077606,-64.8416482,226.2,0.0,0.0,296.9,1.57,236.0,11.8,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIS,28:05:2017,54077.000,15:01:17.000,-03,32.3077561,-64.8416509,225.7,0.0,0.0,212.4,2.20,236.0,11.8,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIS,28:05:2017,54077.500,15:01:17.500,-03,32.3077543,-64.8416531,225.4,0.0,0.0,204.5,1.81,236.0,11.8,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIS,28:05:2017,54078.000,15:01:18.000,-03,32.3077533,-64.8416558,225.5,0.0,0.0,248.7,0.86,236.0,11.9,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIS,28:05:2017,54078.500,15:01:18.500,-03,32.3077513,-64.8416590,225.8,0.0,0.0,244.9,1.42,236.0,11.9,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIS,28:05:2017,54079.000,15:01:19.000,-03,32.3077487,-64.8416597,225.9,0.0,0.0,231.7,1.21,236.0,11.9,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIS,28:05:2017,54079.500,15:01:19.500,-03,32.3077467,-64.8416619,226.1,0.0,0.0,191.2,1.09,236.0,11.9,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIS,28:05:2017,54080.000,15:01:20.000,-03,32.3077450,-64.8416664,226.4,0.0,0.0,252.6,1.65,236.0,12.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIS,28:05:2017,54080.500,15:01:20.500,-03,32.3077423,-64.8416684,226.6,0.0,0.0,236.1,1.77,236.0,12.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIS,28:05:2017,54081.000,15:01:21.000,-03,32.3077407,-64.8416696,226.8,0.0,0.0,197.8,1.17,236.0,12.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIS,28:05:2017,54081.500,15:01:21.500,-03,32.3077377,-64.8416719,226.8,0.0,0.0,244.4,0.91,236.0,12.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIS,28:05:2017,54082.000,15:01:22.000,-03,32.3077345,-64.8416746,227.2,0.0,0.0,198.6,2.16,236.0,12.1,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIS,28:05:2017,54082.500,15:01:22.500,-03,32.3077333,-64.8416770,228.2,0.0,0.0,236.8,1.40,236.0,12.1,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIS,28:05:2017,54083.000,15:01:23.000,-03,32.3077318,-64.8416789,229.0,0.0,0.0,254.8,0.86,236.0,12.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIS,28:05:2017,54083.500,15:01:23.500,-03,32.3077294,-64.8416817,229.2,0.0,0.0,222.6,1.28,236.0,12.1,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIS,28:05:2017,54084.000,15:01:24.000,-03,32.3077271,-64.8416849,229.3,0.0,0.0,227.7,1.56,236.0,12.2,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIS,28:05:2017,54084.500,15:01:24.500,-03,32.3077238,-64.8416860,229.9,0.0,0.0,230.0,1.50,236.0,12.2,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIS,28:05:2017,54085.000,15:01:25.000,-03,32.3077210,-64.8416877,230.6,0.0,0.0,186.9,1.50,236.0,12.2,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIS,28:05:2017,54085.500,15:01:25.500,-03,32.3077214,-64.8416926,231.1,0.0,0.0,253.5,1.48,236.0,12.2,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIS,28:05:2017,54086.000,15:01:26.000,-03,32.3077202,-64.8416956,231.4,0.0,0.0,286.4,2.14,236.0,12.2,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIS,28:05:2017,54086.500,15:01:26.500,-03,32.3077157,-64.8416956,231.3,0.0,0.0,193.0,1.54,236.0,12.3,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
