Boat,Date,Secs,LocalTime,Zone,Lat,Lon,Hdg,Heel,Pitch,COG,SOG,CourseWindDirection,CourseWindSpeed,yHdg,ySpeed,yTWS,yTWD,yAWS,yAWA,yTWA,ySOG,yCOG,yRudder
CAM,28:05:2017,59341.000,16:29:01.000,-03,32.3105682,-64.8423564,264.9,0.0,0.0,264.9,15.84,241.5,9.5,0.0,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAM,28:05:2017,59341.500,16:29:01.500,-03,32.3105656,-64.8423996,264.2,0.0,0.0,264.2,16.04,241.5,9.6,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAM,28:05:2017,59342.000,16:29:02.000,-03,32.3105613,-64.8424430,265.6,0.0,0.0,265.6,15.90,241.5,9.6,0.0,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAM,28:05:2017,59342.500,16:29:02.500,-03,32.3105583,-64.8424870,264.6,0.0,0.0,264.6,16.11,241.5,9.6,0.0,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAM,28:05:2017,59343.000,16:29:03.000,-03,32.3105552,-64.8425304,263.6,0.0,0.0,263.6,16.04,241.5,9.6,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAM,28:05:2017,59343.500,16:29:03.500,-03,32.3105510,-64.8425739,263.7,0.0,0.0,263.7,16.00,241.5,9.6,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAM,28:05:2017,59344.000,16:29:04.000,-03,32.3105465,-64.8426171,263.9,0.0,0.0,263.9,15.96,241.5,9.6,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAM,28:05:2017,59344.500,16:29:04.500,-03,32.3105419,-64.8426601,263.6,0.0,0.0,263.6,16.04,241.5,9.6,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAM,28:05:2017,59345.000,16:29:05.000,-03,32.3105383,-64.8427031,261.8,0.0,0.0,261.8,15.76,241.5,9.6,0.0,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAM,28:05:2017,59345.500,16:29:05.500,-03,32.3105331,-64.8427458,261.2,0.0,0.0,261.2,15.80,241.5,9.7,0.0,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAM,28:05:2017,59346.000,16:29:06.000,-03,32.3105275,-64.8427882,260.6,0.0,0.0,260.6,15.73,241.5,9.7,0.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAM,28:05:2017,59346.500,16:29:06.500,-03,32.3105210,-64.8428306,260.5,0.0,0.0,260.5,15.75,241.5,9.7,0.0,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAM,28:05:2017,59347.000,16:29:07.000,-03,32.3105149,-64.8428729,258.8,0.0,0.0,258.8,15.73,241.5,9.7,0.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAM,28:05:2017,59347.500,16:29:07.500,-03,32.3105082,-64.8429154,258.0,0.0,0.0,258.0,15.69,241.5,9.7,0.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAM,28:05:2017,59348.000,16:29:08.000,-03,32.3104996,-64.8429574,259.0,0.0,0.0,259.0,15.96,241.5,9.7,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAM,28:05:2017,59348.500,16:29:08.500,-03,32.3104925,-64.8430000,257.8,0.0,0.0,257.8,15.80,241.5,9.7,0.0,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAM,28:05:2017,59349.000,16:29:09.000,-03,32.3104848,-64.8430426,257.4,0.0,0.0,257.4,16.00,241.5,9.8,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAM,28:05:2017,59349.500,16:29:09.500,-03,32.3104765,-64.8430850,257.5,0.0,0.0,257.5,15.92,241.5,9.8,0.0,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAM,28:05:2017,59350.000,16:29:10.000,-03,32.3104691,-64.8431278,256.7,0.0,0.0,256.7,15.96,241.5,9.8,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAM,28:05:2017,59350.500,16:29:10.500,-03,32.3104602,-64.8431700,258.3,0.0,0.0,258.3,15.96,241.5,9.8,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAM,28:05:2017,59351.000,16:29:11.000,-03,32.3104521,-64.8432127,257.8,0.0,0.0,257.8,16.02,241.5,9.8,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAM,28:05:2017,59351.500,16:29:11.500,-03,32.3104450,-64.8432553,255.7,0.0,0.0,255.7,15.94,241.5,9.9,0.0,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAM,28:05:2017,59352.000,16:29:12.000,-03,32.3104365,-64.8432976,256.3,0.0,0.0,256.3,15.82,241.5,9.9,0.0,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAM,28:05:2017,59352.500,16:29:12.500,-03,32.3104270,-64.8433394,258.3,0.0,0.0,258.3,15.92,241.5,9.9,0.0,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
