Boat,Date,Secs,LocalTime,Zone,Lat,Lon,Hdg,Heel,Pitch,COG,SOG,CourseWindDirection,CourseWindSpeed,yHdg,ySpeed,yTWS,yTWD,yAWS,yAWA,yTWA,ySOG,yCOG,yRudder
SHA,29:05:2017,52339.500,14:32:19.500,-03,32.2949628,-64.8529403,289.7,0.0,0.0,280.9,3.69,249.9,14.2,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHA,29:05:2017,52340.000,14:32:20.000,-03,32.2949677,-64.8529461,290.8,0.0,0.0,307.5,3.40,249.9,14.2,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHA,29:05:2017,52340.500,14:32:20.500,-03,32.2949725,-64.8529524,291.5,0.0,0.0,323.8,2.99,249.9,14.2,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHA,29:05:2017,52341.000,14:32:21.000,-03,32.2949764,-64.8529600,292.2,0.0,0.0,305.9,3.29,249.9,14.2,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHA,29:05:2017,52341.500,14:32:21.500,-03,32.2949797,-64.8529661,293.0,0.0,0.0,299.5,3.01,249.9,14.3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHA,29:05:2017,52342.000,14:32:22.000,-03,32.2949844,-64.8529694,293.6,0.0,0.0,324.6,2.62,249.9,14.3,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHA,29:05:2017,52342.500,14:32:22.500,-03,32.2949874,-64.8529736,294.2,0.0,0.0,331.3,2.14,249.9,14.3,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHA,29:05:2017,52343.000,14:32:23.000,-03,32.2949885,-64.8529798,295.4,0.0,0.0,294.0,2.22,249.9,14.3,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHA,29:05:2017,52343.500,14:32:23.500,-03,32.2949922,-64.8529816,297.0,0.0,0.0,296.9,2.04,249.9,14.3,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHA,29:05:2017,52344.000,14:32:24.000,-03,32.2949987,-64.8529794,297.7,0.0,0.0,13.8,2.97,249.9,14.3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHA,29:05:2017,52344.500,14:32:24.500,-03,32.2950005,-64.8529827,297.9,0.0,0.0,11.4,2.47,249.9,14.3,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHA,29:05:2017,52345.000,14:32:25.000,-03,32.2949994,-64.8529881,299.1,0.0,0.0,258.4,2.51,249.9,14.3,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
