Boat,Race,Date,Secs,LocalTime,Zone,Event,Opt1,Opt2
,17052914,29:05:2017,52453.564,14:34:13.564,-03,RaceChanged,,
SWE,17052914,29:05:2017,52493.303,14:34:53.303,-03,BeginEntry,,
PRO,0,29:05:2017,52495.291,14:34:55.290,-03,Message,AllGroups,SWE port
SWE,17052914,29:05:2017,52496.149,14:34:56.149,-03,CompleteEntry,,
PRO,0,29:05:2017,52497.791,14:34:57.790,-03,Message,AllGroups,NZL stbd
PRO,0,29:05:2017,52500.209,14:35:00.208,-03,Message,AllGroups,Course 6-F
NZL,17052914,29:05:2017,52509.005,14:35:09.005,-03,BeginEntry,,
NZL,17052914,29:05:2017,52511.653,14:35:11.653,-03,CompleteEntry,,
SWE,17052914,29:05:2017,52619.754,14:36:59.754,-03,BoatStarted,,
,17052914,29:05:2017,52620.000,14:37:00.000,-03,RaceStarted,,
SWE,17052914,29:05:2017,52620.198,14:37:00.198,-03,OCS,,
NZL,17052914,29:05:2017,52625.065,14:37:05.065,-03,BoatStarted,,
SWE,17052914,29:05:2017,52632.127,14:37:12.127,-03,OCSCleared,,
SWE,17052914,29:05:2017,52638.309,14:37:18.309,-03,Penalty44_2a,,
NZL,17052914,29:05:2017,52674.281,14:37:54.281,-03,MarkRounding,1,
SWE,17052914,29:05:2017,52673.631,14:37:53.631,-03,PenaltyCleared,,
SWE,17052914,29:05:2017,52679.063,14:37:59.063,-03,MarkRounding,1,
,17052914,29:05:2017,52679.846,14:37:59.846,-03,RaceChanged,,
SWE,17052914,29:05:2017,52766.374,14:39:26.374,-03,MarkRounding,2,
SWE,17052914,29:05:2017,53037.501,14:43:57.501,-03,MarkRounding,3,
NZL,17052914,29:05:2017,53040.918,14:44:00.918,-03,MarkRounding,3,
NZL,17052914,29:05:2017,53201.328,14:46:41.328,-03,MarkRounding,4,
SWE,17052914,29:05:2017,53200.462,14:46:40.462,-03,MarkRounding,4,
,17052914,29:05:2017,53307.243,14:48:27.243,-03,RaceChanged,,
SWE,17052914,29:05:2017,53343.082,14:49:03.082,-03,YFlag,,
SWE,17052914,29:05:2017,53348.797,14:49:08.797,-03,NoPenalty,,
SWE,17052914,29:05:2017,53476.979,14:51:16.979,-03,MarkRounding,5,
NZL,17052914,29:05:2017,53478.718,14:51:18.718,-03,MarkRounding,5,
SWE,17052914,29:05:2017,53647.099,14:54:07.099,-03,MarkRounding,6,
NZL,17052914,29:05:2017,53649.138,14:54:09.138,-03,MarkRounding,6,
NZL,17052914,29:05:2017,53658.538,14:54:18.538,-03,YFlag,,
NZL,17052914,29:05:2017,53664.348,14:54:24.348,-03,YFlag,,
SWE,17052914,29:05:2017,53696.956,14:54:56.956,-03,Penalty44_2a,,
NZL,17052914,29:05:2017,53708.880,14:55:08.880,-03,NoPenalty,,
SWE,17052914,29:05:2017,53763.554,14:56:03.554,-03,CrossedFinish,,
NZL,17052914,29:05:2017,53763.669,14:56:03.669,-03,CrossedFinish,,
NZL,17052914,29:05:2017,53763.669,14:56:03.669,-03,Finished,,
SWE,17052914,29:05:2017,53764.554,14:56:04.554,-03,Finished,,
,17052914,29:05:2017,53815.082,14:56:55.082,-03,RaceTerminated,,
