Boat,Date,Secs,LocalTime,Zone,Lat,Lon,Hdg,Heel,Pitch,COG,SOG,CourseWindDirection,CourseWindSpeed,yHdg,ySpeed,yTWS,yTWD,yAWS,yAWA,yTWA,ySOG,yCOG,yRudder
U1,29:05:2017,54061.500,15:01:01.500,-03,32.3065191,-64.8491587,230.2,0.0,0.0,235.4,14.91,250.6,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54062.000,15:01:02.000,-03,32.3064978,-64.8491925,229.9,0.0,0.0,230.3,15.49,250.6,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54062.500,15:01:02.500,-03,32.3064757,-64.8492269,229.9,0.0,0.0,234.1,15.53,250.6,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54063.000,15:01:03.000,-03,32.3064522,-64.8492616,230.0,0.0,0.0,233.9,15.40,250.6,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54063.500,15:01:03.500,-03,32.3064309,-64.8492964,229.8,0.0,0.0,229.5,16.29,250.6,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54064.000,15:01:04.000,-03,32.3064090,-64.8493299,229.2,0.0,0.0,233.5,15.41,250.6,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54064.500,15:01:04.500,-03,32.3063857,-64.8493627,229.1,0.0,0.0,228.3,16.11,250.6,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54065.000,15:01:05.000,-03,32.3063635,-64.8493967,229.3,0.0,0.0,233.9,15.12,250.6,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54065.500,15:01:05.500,-03,32.3063406,-64.8494301,229.6,0.0,0.0,228.7,15.73,250.6,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54066.000,15:01:06.000,-03,32.3063184,-64.8494650,230.2,0.0,0.0,230.9,16.19,250.6,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54066.500,15:01:06.500,-03,32.3062980,-64.8495007,230.7,0.0,0.0,234.5,15.94,250.6,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54067.000,15:01:07.000,-03,32.3062764,-64.8495353,231.2,0.0,0.0,232.7,15.98,250.6,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54067.500,15:01:07.500,-03,32.3062552,-64.8495703,231.6,0.0,0.0,236.1,15.67,250.6,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54068.000,15:01:08.000,-03,32.3062333,-64.8496044,232.2,0.0,0.0,233.6,15.18,250.6,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54068.500,15:01:08.500,-03,32.3062135,-64.8496407,232.7,0.0,0.0,236.1,15.82,250.6,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54069.000,15:01:09.000,-03,32.3061937,-64.8496766,233.2,0.0,0.0,237.1,15.90,250.6,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54069.500,15:01:09.500,-03,32.3061733,-64.8497127,233.5,0.0,0.0,236.2,15.63,250.6,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54070.000,15:01:10.000,-03,32.3061528,-64.8497481,233.7,0.0,0.0,235.5,15.92,250.6,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54070.500,15:01:10.500,-03,32.3061332,-64.8497847,233.7,0.0,0.0,237.9,15.26,250.6,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54071.000,15:01:11.000,-03,32.3061138,-64.8498209,233.6,0.0,0.0,235.5,16.35,250.6,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54071.500,15:01:11.500,-03,32.3060938,-64.8498571,233.5,0.0,0.0,241.6,15.38,250.6,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54072.000,15:01:12.000,-03,32.3060737,-64.8498921,233.4,0.0,0.0,233.8,15.69,250.6,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54072.500,15:01:12.500,-03,32.3060530,-64.8499285,233.9,0.0,0.0,235.6,15.94,250.6,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54073.000,15:01:13.000,-03,32.3060329,-64.8499639,234.9,0.0,0.0,234.9,15.47,250.6,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54073.500,15:01:13.500,-03,32.3060132,-64.8500013,235.8,0.0,0.0,241.2,15.63,250.6,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54074.000,15:01:14.000,-03,32.3059927,-64.8500387,237.7,0.0,0.0,239.0,15.63,250.6,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54074.500,15:01:14.500,-03,32.3059726,-64.8500794,239.3,0.0,0.0,238.4,16.68,250.6,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54075.000,15:01:15.000,-03,32.3059522,-64.8501211,241.1,0.0,0.0,240.1,16.76,250.6,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54075.500,15:01:15.500,-03,32.3059326,-64.8501642,242.1,0.0,0.0,242.8,17.94,250.6,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54076.000,15:01:16.000,-03,32.3059122,-64.8502083,243.2,0.0,0.0,243.0,17.92,250.6,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54076.500,15:01:16.500,-03,32.3058911,-64.8502540,243.9,0.0,0.0,243.3,18.87,250.6,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54077.000,15:01:17.000,-03,32.3058729,-64.8503008,244.1,0.0,0.0,244.7,18.66,250.6,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54077.500,15:01:17.500,-03,32.3058540,-64.8503492,244.0,0.0,0.0,246.8,19.65,250.6,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54078.000,15:01:18.000,-03,32.3058331,-64.8503975,243.9,0.0,0.0,243.9,19.63,250.6,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54078.500,15:01:18.500,-03,32.3058137,-64.8504468,243.8,0.0,0.0,245.8,19.21,250.6,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54079.000,15:01:19.000,-03,32.3057924,-64.8504961,243.4,0.0,0.0,241.4,20.18,250.6,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54079.500,15:01:19.500,-03,32.3057710,-64.8505447,242.9,0.0,0.0,243.8,19.92,250.6,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54080.000,15:01:20.000,-03,32.3057500,-64.8505943,241.8,0.0,0.0,243.1,20.47,250.6,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54080.500,15:01:20.500,-03,32.3057298,-64.8506420,240.6,0.0,0.0,243.4,20.27,250.6,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54081.000,15:01:21.000,-03,32.3057098,-64.8506876,238.2,0.0,0.0,243.7,19.21,250.6,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54081.500,15:01:21.500,-03,32.3056904,-64.8507309,236.7,0.0,0.0,238.9,18.43,250.6,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54082.000,15:01:22.000,-03,32.3056723,-64.8507727,234.4,0.0,0.0,237.7,17.42,250.6,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54082.500,15:01:22.500,-03,32.3056543,-64.8508127,233.2,0.0,0.0,243.7,16.99,250.6,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54083.000,15:01:23.000,-03,32.3056350,-64.8508510,232.1,0.0,0.0,238.6,16.41,250.6,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54083.500,15:01:23.500,-03,32.3056159,-64.8508872,231.7,0.0,0.0,237.9,15.73,250.6,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54084.000,15:01:24.000,-03,32.3055974,-64.8509238,231.5,0.0,0.0,238.6,15.05,250.6,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54084.500,15:01:24.500,-03,32.3055793,-64.8509592,231.6,0.0,0.0,236.9,15.59,250.6,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54085.000,15:01:25.000,-03,32.3055616,-64.8509924,231.3,0.0,0.0,239.1,14.79,250.6,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54085.500,15:01:25.500,-03,32.3055444,-64.8510256,230.9,0.0,0.0,238.4,14.81,250.6,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54086.000,15:01:26.000,-03,32.3055273,-64.8510574,230.1,0.0,0.0,239.2,12.91,250.6,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54086.500,15:01:26.500,-03,32.3055098,-64.8510865,229.3,0.0,0.0,236.3,13.43,250.6,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54087.000,15:01:27.000,-03,32.3054938,-64.8511152,227.9,0.0,0.0,231.7,13.10,250.6,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54087.500,15:01:27.500,-03,32.3054790,-64.8511434,227.1,0.0,0.0,237.5,11.76,250.6,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54088.000,15:01:28.000,-03,32.3054641,-64.8511695,225.7,0.0,0.0,235.8,12.17,250.6,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54088.500,15:01:28.500,-03,32.3054489,-64.8511937,224.8,0.0,0.0,233.7,10.50,250.6,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54089.000,15:01:29.000,-03,32.3054340,-64.8512170,223.2,0.0,0.0,231.4,11.33,250.6,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54089.500,15:01:29.500,-03,32.3054199,-64.8512390,222.1,0.0,0.0,234.6,10.15,250.6,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54090.000,15:01:30.000,-03,32.3054046,-64.8512592,220.6,0.0,0.0,228.1,10.11,250.6,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54090.500,15:01:30.500,-03,32.3053891,-64.8512792,219.8,0.0,0.0,225.1,9.68,250.6,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54091.000,15:01:31.000,-03,32.3053743,-64.8512993,218.7,0.0,0.0,226.3,9.86,250.6,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54091.500,15:01:31.500,-03,32.3053586,-64.8513185,218.1,0.0,0.0,228.1,9.52,250.6,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54092.000,15:01:32.000,-03,32.3053428,-64.8513361,216.8,0.0,0.0,220.2,10.05,250.6,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54092.500,15:01:32.500,-03,32.3053277,-64.8513537,215.8,0.0,0.0,221.3,8.71,250.6,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54093.000,15:01:33.000,-03,32.3053130,-64.8513702,214.1,0.0,0.0,224.0,9.19,250.6,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54093.500,15:01:33.500,-03,32.3052991,-64.8513856,212.8,0.0,0.0,219.6,7.93,250.6,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54094.000,15:01:34.000,-03,32.3052847,-64.8514010,210.8,0.0,0.0,221.5,8.53,250.6,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54094.500,15:01:34.500,-03,32.3052705,-64.8514140,209.5,0.0,0.0,218.4,7.78,250.6,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54095.000,15:01:35.000,-03,32.3052553,-64.8514260,208.1,0.0,0.0,213.7,7.58,250.6,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54095.500,15:01:35.500,-03,32.3052405,-64.8514370,207.4,0.0,0.0,210.2,7.72,250.6,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54096.000,15:01:36.000,-03,32.3052256,-64.8514485,206.6,0.0,0.0,211.9,7.43,250.6,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54096.500,15:01:36.500,-03,32.3052121,-64.8514603,205.8,0.0,0.0,210.5,7.54,250.6,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U1,29:05:2017,54097.000,15:01:37.000,-03,32.3051976,-64.8514722,204.0,0.0,0.0,216.9,7.27,250.6,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
