Boat,Date,Secs,LocalTime,Zone,Lat,Lon,Hdg,Heel,Pitch,COG,SOG,CourseWindDirection,CourseWindSpeed,yHdg,ySpeed,yTWS,yTWD,yAWS,yAWA,yTWA,ySOG,yCOG,yRudder
M1,30:05:2017,52330.500,14:32:10.500,-03,32.3032927,-64.8410590,265.2,0.0,0.0,340.3,0.29,298.0,10.9,0.0,0.3,12.0,295.5,10.6,24.0,11.5,0.0,0.0,0.0
M1,30:05:2017,52331.000,14:32:11.000,-03,32.3032896,-64.8410597,265.2,0.0,0.0,203.9,1.81,298.0,10.9,0.0,1.8,12.0,295.6,12.0,21.0,13.4,0.0,0.0,0.0
M1,30:05:2017,52331.500,14:32:11.500,-03,32.3032897,-64.8410598,264.9,0.0,0.0,161.2,0.70,298.0,10.9,0.0,0.7,12.0,295.6,12.0,21.0,13.4,0.0,0.0,0.0
M1,30:05:2017,52332.000,14:32:12.000,-03,32.3032910,-64.8410615,264.9,0.0,0.0,342.4,1.34,298.0,10.9,0.0,1.4,12.0,294.9,12.3,27.0,14.2,0.0,0.0,0.0
M1,30:05:2017,52332.500,14:32:12.500,-03,32.3032850,-64.8410619,265.0,0.0,0.0,214.5,0.82,298.1,10.9,0.0,0.8,12.0,294.9,12.3,27.0,14.2,0.0,0.0,0.0
M1,30:05:2017,52333.000,14:32:13.000,-03,32.3032848,-64.8410614,264.9,0.0,0.0,177.5,2.82,298.1,10.9,0.0,2.8,12.0,294.7,11.7,14.0,15.5,0.0,0.0,0.0
M1,30:05:2017,52333.500,14:32:13.500,-03,32.3032874,-64.8410628,265.1,0.0,0.0,7.0,1.83,298.1,10.9,0.0,1.8,12.0,294.7,11.7,14.0,15.5,0.0,0.0,0.0
M1,30:05:2017,52334.000,14:32:14.000,-03,32.3032832,-64.8410650,265.8,0.0,0.0,251.7,1.22,298.2,10.9,0.0,1.2,12.1,295.0,13.7,26.0,16.9,0.0,0.0,0.0
M1,30:05:2017,52334.500,14:32:14.500,-03,32.3032795,-64.8410640,265.6,0.0,0.0,180.6,2.76,298.2,10.9,0.0,2.8,12.1,295.0,13.7,26.0,16.9,0.0,0.0,0.0
M1,30:05:2017,52335.000,14:32:15.000,-03,32.3032810,-64.8410644,266.0,0.0,0.0,111.7,0.45,298.2,10.9,0.0,0.5,12.2,293.7,12.8,14.0,16.6,0.0,0.0,0.0
M1,30:05:2017,52335.500,14:32:15.500,-03,32.3032798,-64.8410661,267.0,0.0,0.0,299.9,0.84,298.3,10.9,0.0,0.8,12.2,293.7,12.8,14.0,16.6,0.0,0.0,0.0
M1,30:05:2017,52336.000,14:32:16.000,-03,32.3032786,-64.8410672,268.0,0.0,0.0,221.5,0.72,298.3,10.9,0.0,0.7,12.4,293.2,14.3,16.0,16.8,0.0,0.0,0.0
