Boat,Date,Secs,LocalTime,Zone,Lat,Lon,Hdg,Heel,Pitch,COG,SOG,CourseWindDirection,CourseWindSpeed,yHdg,ySpeed,yTWS,yTWD,yAWS,yAWA,yTWA,ySOG,yCOG,yRudder
SWE,02:06:2017,50585.597,14:03:05.597,-03,32.2970443,-64.8529818,230.1,0.1,0.0,230.6,1.59,0.0,0.0,0.0,1.3,14.7,220.8,17.0,-8.0,-3.7,0.0,0.0,0.0
SWE,02:06:2017,50585.797,14:03:05.797,-03,32.2970435,-64.8529831,230.4,0.3,-0.1,232.6,1.50,210.0,15.1,0.0,1.6,14.3,220.9,17.0,-10.3,-5.9,0.0,0.0,0.0
SWE,02:06:2017,50585.997,14:03:05.997,-03,32.2970426,-64.8529844,230.7,0.4,-0.1,236.1,1.42,210.0,15.1,0.0,1.6,14.3,220.9,17.0,-10.3,-5.9,0.0,0.0,0.0
SWE,02:06:2017,50586.197,14:03:06.197,-03,32.2970419,-64.8529858,230.8,0.3,0.1,238.6,1.38,210.0,15.1,0.0,1.6,14.3,220.9,17.0,-10.3,-5.9,0.0,0.0,0.0
SWE,02:06:2017,50586.397,14:03:06.397,-03,32.2970413,-64.8529870,230.8,0.1,0.3,240.1,1.40,210.0,15.1,0.0,1.6,14.3,220.9,17.0,-10.3,-5.9,0.0,0.0,0.0
SWE,02:06:2017,50586.597,14:03:06.597,-03,32.2970406,-64.8529884,230.8,0.0,0.4,241.7,1.42,210.0,15.1,0.0,1.6,14.3,220.9,17.0,-10.3,-5.9,0.0,0.0,0.0
SWE,02:06:2017,50586.797,14:03:06.797,-03,32.2970400,-64.8529898,230.9,0.0,0.4,242.8,1.46,210.0,15.1,0.0,1.4,14.4,220.8,16.9,-2.1,-8.4,0.0,0.0,0.0
SWE,02:06:2017,50586.997,14:03:06.997,-03,32.2970393,-64.8529912,230.9,0.1,0.4,242.8,1.48,209.9,15.2,0.0,1.4,14.4,220.8,16.9,-2.1,-8.4,0.0,0.0,0.0
SWE,02:06:2017,50587.197,14:03:07.197,-03,32.2970387,-64.8529927,231.0,0.2,0.3,238.5,1.48,209.9,15.2,0.0,1.4,14.4,220.8,16.9,-2.1,-8.4,0.0,0.0,0.0
SWE,02:06:2017,50587.397,14:03:07.397,-03,32.2970379,-64.8529940,231.1,0.2,0.1,232.9,1.46,209.9,15.2,0.0,1.4,14.4,220.8,16.9,-2.1,-8.4,0.0,0.0,0.0
SWE,02:06:2017,50587.597,14:03:07.597,-03,32.2970371,-64.8529953,231.3,0.2,0.0,229.2,1.44,209.9,15.2,0.0,1.4,14.4,220.8,16.9,-2.1,-8.4,0.0,0.0,0.0
SWE,02:06:2017,50587.797,14:03:07.797,-03,32.2970362,-64.8529964,231.5,0.1,-0.1,228.4,1.36,209.9,15.2,0.0,1.4,15.0,221.4,16.9,-11.4,-9.6,0.0,0.0,0.0
SWE,02:06:2017,50587.997,14:03:07.997,-03,32.2970354,-64.8529975,231.7,0.0,-0.1,229.9,1.28,209.9,15.2,0.0,1.4,15.0,221.4,16.9,-11.4,-9.6,0.0,0.0,0.0
SWE,02:06:2017,50588.197,14:03:08.197,-03,32.2970347,-64.8529986,231.9,-0.1,0.0,234.1,1.21,209.9,15.2,0.0,1.4,15.0,221.4,16.9,-11.4,-9.6,0.0,0.0,0.0
