Date,Secs,LocalTime,Zone,Instant,Average
02:06:2017,52326.987,14:32:06.987,-03,13.13,12.76
02:06:2017,52327.487,14:32:07.487,-03,13.13,12.72
02:06:2017,52327.987,14:32:07.987,-03,13.41,12.69
02:06:2017,52328.487,14:32:08.487,-03,13.41,12.69
02:06:2017,52328.987,14:32:08.987,-03,13.53,12.69
02:06:2017,52329.487,14:32:09.487,-03,13.53,12.67
02:06:2017,52329.987,14:32:09.987,-03,13.42,12.64
02:06:2017,52330.487,14:32:10.487,-03,13.42,12.64
02:06:2017,52330.987,14:32:10.987,-03,13.40,12.63
02:06:2017,52331.487,14:32:11.487,-03,13.40,12.62
02:06:2017,52331.987,14:32:11.987,-03,13.09,12.60
02:06:2017,52332.487,14:32:12.487,-03,13.09,12.59
02:06:2017,52332.987,14:32:12.987,-03,14.18,12.59
02:06:2017,52333.487,14:32:13.487,-03,14.18,12.61
02:06:2017,52333.986,14:32:13.986,-03,13.87,12.63
02:06:2017,52334.487,14:32:14.487,-03,13.87,12.64
02:06:2017,52334.986,14:32:14.986,-03,14.47,12.67
02:06:2017,52335.486,14:32:15.486,-03,14.47,12.71
02:06:2017,52335.986,14:32:15.986,-03,12.88,12.73
02:06:2017,52336.486,14:32:16.486,-03,12.88,12.74
02:06:2017,52336.986,14:32:16.986,-03,14.26,12.77
02:06:2017,52337.486,14:32:17.486,-03,14.26,12.83
02:06:2017,52337.986,14:32:17.986,-03,12.63,12.86
02:06:2017,52338.486,14:32:18.486,-03,12.63,12.86
02:06:2017,52338.986,14:32:18.986,-03,13.21,12.86
02:06:2017,52339.486,14:32:19.486,-03,13.21,12.89
02:06:2017,52339.986,14:32:19.986,-03,12.78,12.92
02:06:2017,52340.486,14:32:20.486,-03,12.78,12.93
02:06:2017,52340.986,14:32:20.986,-03,12.16,12.93
02:06:2017,52341.486,14:32:21.486,-03,12.16,12.93
02:06:2017,52341.986,14:32:21.986,-03,11.42,12.92
02:06:2017,52342.486,14:32:22.486,-03,11.42,12.90
02:06:2017,52342.986,14:32:22.986,-03,12.53,12.90
02:06:2017,52343.486,14:32:23.486,-03,12.53,12.92
02:06:2017,52343.986,14:32:23.986,-03,12.71,12.93
02:06:2017,52344.486,14:32:24.486,-03,12.71,12.94
02:06:2017,52344.986,14:32:24.986,-03,13.70,12.96
02:06:2017,52345.486,14:32:25.486,-03,13.70,13.01
02:06:2017,52345.986,14:32:25.986,-03,12.92,13.05
02:06:2017,52346.486,14:32:26.486,-03,12.92,13.06
02:06:2017,52346.986,14:32:26.986,-03,13.00,13.08
02:06:2017,52347.486,14:32:27.486,-03,13.00,13.10
02:06:2017,52347.986,14:32:27.986,-03,12.64,13.12
02:06:2017,52348.486,14:32:28.486,-03,12.64,13.13
02:06:2017,52348.986,14:32:28.986,-03,13.03,13.15
02:06:2017,52349.486,14:32:29.486,-03,13.03,13.15
02:06:2017,52349.986,14:32:29.986,-03,13.13,13.15
02:06:2017,52350.485,14:32:30.485,-03,13.13,13.16
02:06:2017,52350.985,14:32:30.985,-03,13.11,13.16
02:06:2017,52351.485,14:32:31.485,-03,13.11,13.16
02:06:2017,52351.985,14:32:31.985,-03,12.86,13.15
02:06:2017,52352.485,14:32:32.485,-03,12.86,13.13
02:06:2017,52352.985,14:32:32.985,-03,13.88,13.13
02:06:2017,52353.485,14:32:33.485,-03,13.88,13.16
02:06:2017,52353.985,14:32:33.985,-03,13.45,13.18
02:06:2017,52354.485,14:32:34.485,-03,13.45,13.17
02:06:2017,52354.985,14:32:34.985,-03,13.39,13.17
02:06:2017,52355.485,14:32:35.485,-03,13.39,13.19
02:06:2017,52355.985,14:32:35.985,-03,12.65,13.20
02:06:2017,52356.485,14:32:36.485,-03,12.65,13.18
02:06:2017,52356.985,14:32:36.985,-03,12.78,13.16
02:06:2017,52357.485,14:32:37.485,-03,12.78,13.15
02:06:2017,52357.985,14:32:37.985,-03,12.14,13.13
02:06:2017,52358.485,14:32:38.485,-03,12.14,13.11
02:06:2017,52358.985,14:32:38.985,-03,12.63,13.10
02:06:2017,52359.485,14:32:39.485,-03,12.63,13.09
02:06:2017,52359.985,14:32:39.985,-03,11.50,13.05
02:06:2017,52360.485,14:32:40.485,-03,11.50,13.02
02:06:2017,52360.985,14:32:40.985,-03,12.88,13.01
02:06:2017,52361.485,14:32:41.485,-03,12.88,13.00
02:06:2017,52361.985,14:32:41.985,-03,12.97,13.00
02:06:2017,52362.485,14:32:42.485,-03,12.97,12.99
02:06:2017,52362.985,14:32:42.985,-03,12.43,12.98
02:06:2017,52363.485,14:32:43.485,-03,12.43,12.95
02:06:2017,52363.985,14:32:43.985,-03,12.36,12.92
02:06:2017,52364.485,14:32:44.485,-03,12.36,12.90
02:06:2017,52364.985,14:32:44.985,-03,11.29,12.86
02:06:2017,52365.485,14:32:45.485,-03,11.29,12.81
02:06:2017,52365.985,14:32:45.985,-03,13.00,12.78
02:06:2017,52366.485,14:32:46.485,-03,13.00,12.78
02:06:2017,52366.985,14:32:46.985,-03,11.93,12.77
02:06:2017,52367.485,14:32:47.485,-03,11.93,12.73
02:06:2017,52367.984,14:32:47.984,-03,11.63,12.69
02:06:2017,52368.484,14:32:48.484,-03,11.63,12.67
02:06:2017,52368.984,14:32:48.984,-03,10.46,12.63
02:06:2017,52369.484,14:32:49.484,-03,10.46,12.59
02:06:2017,52369.984,14:32:49.984,-03,12.79,12.58
02:06:2017,52370.484,14:32:50.484,-03,12.79,12.58
02:06:2017,52370.984,14:32:50.984,-03,13.23,12.59
02:06:2017,52371.484,14:32:51.484,-03,13.23,12.61
02:06:2017,52371.984,14:32:51.984,-03,14.61,12.65
02:06:2017,52372.484,14:32:52.484,-03,14.61,12.70
02:06:2017,52372.984,14:32:52.984,-03,13.55,12.73
02:06:2017,52373.484,14:32:53.484,-03,13.55,12.75
02:06:2017,52373.984,14:32:53.984,-03,15.16,12.79
02:06:2017,52374.484,14:32:54.484,-03,15.16,12.83
02:06:2017,52374.984,14:32:54.984,-03,13.83,12.85
02:06:2017,52375.484,14:32:55.484,-03,13.83,12.86
02:06:2017,52375.984,14:32:55.984,-03,15.22,12.88
02:06:2017,52376.484,14:32:56.484,-03,15.22,12.92
02:06:2017,52376.984,14:32:56.984,-03,13.53,12.93
02:06:2017,52377.484,14:32:57.484,-03,13.53,12.94
02:06:2017,52377.984,14:32:57.984,-03,13.73,12.95
02:06:2017,52378.484,14:32:58.484,-03,13.73,12.97
02:06:2017,52378.984,14:32:58.984,-03,12.24,12.96
02:06:2017,52379.484,14:32:59.484,-03,12.24,12.95
02:06:2017,52379.984,14:32:59.984,-03,13.90,12.96
02:06:2017,52380.484,14:33:00.484,-03,13.90,12.97
02:06:2017,52380.984,14:33:00.984,-03,12.47,12.96
02:06:2017,52381.484,14:33:01.484,-03,12.47,12.95
02:06:2017,52381.984,14:33:01.984,-03,15.29,12.99
02:06:2017,52382.484,14:33:02.484,-03,15.29,13.03
02:06:2017,52382.984,14:33:02.984,-03,12.27,13.02
02:06:2017,52383.484,14:33:03.484,-03,12.27,12.99
02:06:2017,52383.984,14:33:03.984,-03,14.51,13.00
