Boat,Date,Secs,LocalTime,Zone,Lat,Lon,Hdg,Heel,Pitch,COG,SOG,CourseWindDirection,CourseWindSpeed,yHdg,ySpeed,yTWS,yTWD,yAWS,yAWA,yTWA,ySOG,yCOG,yRudder
HL1,02:06:2017,55816.400,15:30:16.400,-03,32.3078968,-64.8114584,74.6,-0.1,7.4,70.0,91.36,223.1,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55816.600,15:30:16.600,-03,32.3079263,-64.8113646,74.6,-0.3,7.4,69.8,91.44,223.1,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55816.800,15:30:16.800,-03,32.3079559,-64.8112710,74.7,-0.5,7.5,69.6,91.52,223.1,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55817.000,15:30:17.000,-03,32.3079859,-64.8111774,74.8,-0.7,7.6,69.5,91.50,223.1,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55817.200,15:30:17.200,-03,32.3080160,-64.8110839,75.0,-0.8,7.6,69.3,91.50,223.1,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55817.400,15:30:17.400,-03,32.3080463,-64.8109905,75.3,-0.9,7.6,69.1,91.48,223.1,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55817.600,15:30:17.600,-03,32.3080768,-64.8108972,75.5,-0.8,7.6,68.9,91.52,223.1,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55817.800,15:30:17.800,-03,32.3081075,-64.8108041,75.8,-0.7,7.5,68.8,91.50,223.1,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55818.000,15:30:18.000,-03,32.3081384,-64.8107110,76.1,-0.5,7.3,68.7,91.38,223.1,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55818.200,15:30:18.200,-03,32.3081695,-64.8106180,76.5,-0.6,7.2,68.6,91.32,223.1,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55818.400,15:30:18.400,-03,32.3082008,-64.8105252,76.8,-0.5,7.1,68.5,91.34,223.1,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55818.600,15:30:18.600,-03,32.3082321,-64.8104325,77.3,0.0,7.1,68.3,91.44,223.1,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55818.800,15:30:18.800,-03,32.3082636,-64.8103397,77.9,0.5,7.1,68.3,91.40,223.1,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55819.000,15:30:19.000,-03,32.3082951,-64.8102470,78.6,0.9,7.2,68.2,91.42,223.1,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55819.200,15:30:19.200,-03,32.3083265,-64.8101543,79.4,1.3,7.4,68.1,91.40,223.1,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55819.400,15:30:19.400,-03,32.3083579,-64.8100617,80.4,1.9,7.5,68.2,91.13,223.1,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55819.600,15:30:19.600,-03,32.3083891,-64.8099692,81.6,2.4,7.4,68.2,91.15,223.1,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55819.800,15:30:19.800,-03,32.3084202,-64.8098767,83.2,3.1,7.0,68.3,91.11,223.1,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55820.000,15:30:20.000,-03,32.3084509,-64.8097844,84.8,4.0,6.5,68.6,90.89,223.1,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55820.200,15:30:20.200,-03,32.3084811,-64.8096921,86.7,5.0,5.9,68.8,90.70,223.1,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55820.400,15:30:20.400,-03,32.3085109,-64.8096000,88.4,6.0,5.2,69.0,90.45,223.1,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55820.600,15:30:20.600,-03,32.3085402,-64.8095080,89.9,7.3,4.5,69.3,90.00,223.1,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55820.800,15:30:20.800,-03,32.3085687,-64.8094165,91.3,8.7,3.8,69.6,89.65,223.1,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55821.000,15:30:21.000,-03,32.3085963,-64.8093252,92.7,10.0,3.2,70.1,88.87,223.1,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55821.200,15:30:21.200,-03,32.3086231,-64.8092344,94.0,10.9,2.6,70.6,88.31,223.1,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55821.400,15:30:21.400,-03,32.3086489,-64.8091442,95.2,11.9,2.0,71.1,87.51,223.1,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55821.600,15:30:21.600,-03,32.3086735,-64.8090544,96.4,13.1,1.6,71.7,86.77,223.1,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55821.800,15:30:21.800,-03,32.3086970,-64.8089654,97.7,14.0,1.2,72.4,85.78,223.1,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55822.000,15:30:22.000,-03,32.3087193,-64.8088770,98.9,14.7,0.8,73.1,84.81,223.1,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55822.200,15:30:22.200,-03,32.3087403,-64.8087895,100.0,15.8,0.4,73.8,83.66,223.1,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55822.400,15:30:22.400,-03,32.3087600,-64.8087029,101.1,17.0,-0.1,74.6,82.67,223.1,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55822.600,15:30:22.600,-03,32.3087785,-64.8086173,102.0,17.9,-0.9,75.4,81.56,223.1,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55822.800,15:30:22.800,-03,32.3087956,-64.8085328,102.9,18.3,-1.7,76.2,80.13,223.1,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55823.000,15:30:23.000,-03,32.3088114,-64.8084492,103.7,18.7,-2.5,77.0,78.78,223.1,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55823.200,15:30:23.200,-03,32.3088260,-64.8083667,104.5,18.7,-3.0,77.9,77.62,223.1,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55823.400,15:30:23.400,-03,32.3088395,-64.8082852,105.0,17.9,-3.1,78.7,76.61,223.1,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55823.600,15:30:23.600,-03,32.3088519,-64.8082046,105.3,17.0,-2.9,79.4,75.38,223.1,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55823.800,15:30:23.800,-03,32.3088634,-64.8081249,105.3,16.4,-2.7,80.1,74.39,223.1,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55824.000,15:30:24.000,-03,32.3088741,-64.8080461,105.3,15.2,-2.2,80.8,73.44,223.1,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55824.200,15:30:24.200,-03,32.3088840,-64.8079681,105.2,14.2,-1.6,81.3,72.56,223.1,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55824.400,15:30:24.400,-03,32.3088932,-64.8078907,105.2,13.1,-1.1,81.8,71.73,223.1,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55824.600,15:30:24.600,-03,32.3089019,-64.8078141,104.8,12.0,-0.6,82.3,71.13,223.1,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55824.800,15:30:24.800,-03,32.3089100,-64.8077381,104.3,11.5,-0.2,82.7,70.43,223.1,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55825.000,15:30:25.000,-03,32.3089175,-64.8076627,103.6,11.4,0.0,83.1,69.80,223.1,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55825.200,15:30:25.200,-03,32.3089246,-64.8075879,102.8,11.2,0.1,83.5,69.14,223.1,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55825.400,15:30:25.400,-03,32.3089313,-64.8075135,101.9,11.0,0.0,83.8,68.70,223.1,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55825.600,15:30:25.600,-03,32.3089375,-64.8074396,100.7,10.8,-0.2,84.2,68.21,223.1,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55825.800,15:30:25.800,-03,32.3089435,-64.8073662,99.3,10.4,-0.5,84.5,67.76,223.1,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55826.000,15:30:26.000,-03,32.3089490,-64.8072933,97.8,9.9,-0.6,84.8,67.32,223.1,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55826.200,15:30:26.200,-03,32.3089542,-64.8072208,96.1,9.2,-0.9,85.0,66.83,223.1,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55826.400,15:30:26.400,-03,32.3089593,-64.8071489,94.2,8.1,-1.2,85.2,66.34,223.1,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55826.600,15:30:26.600,-03,32.3089641,-64.8070774,91.9,6.7,-1.4,85.4,65.82,223.1,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55826.800,15:30:26.800,-03,32.3089689,-64.8070066,89.5,5.1,-1.7,85.4,65.33,223.1,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55827.000,15:30:27.000,-03,32.3089735,-64.8069362,87.0,3.5,-2.0,85.5,64.87,223.1,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55827.200,15:30:27.200,-03,32.3089782,-64.8068664,84.4,2.0,-2.1,85.5,64.30,223.1,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55827.400,15:30:27.400,-03,32.3089830,-64.8067972,81.8,0.9,-2.2,85.5,63.82,223.1,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55827.600,15:30:27.600,-03,32.3089879,-64.8067286,79.3,0.2,-2.1,85.4,63.37,223.1,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55827.800,15:30:27.800,-03,32.3089929,-64.8066605,76.9,-0.7,-1.9,85.1,62.79,223.1,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55828.000,15:30:28.000,-03,32.3089984,-64.8065932,74.6,-2.0,-1.8,84.8,62.30,223.1,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55828.200,15:30:28.200,-03,32.3090042,-64.8065267,72.2,-3.5,-1.9,84.4,61.64,223.1,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55828.400,15:30:28.400,-03,32.3090104,-64.8064611,69.7,-5.2,-2.1,83.9,60.78,223.1,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55828.600,15:30:28.600,-03,32.3090170,-64.8063964,66.9,-7.1,-2.5,83.4,60.06,223.1,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55828.800,15:30:28.800,-03,32.3090242,-64.8063329,64.0,-9.3,-3.0,82.6,59.19,223.1,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55829.000,15:30:29.000,-03,32.3090321,-64.8062704,60.9,-11.4,-3.6,82.0,58.18,223.1,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55829.200,15:30:29.200,-03,32.3090406,-64.8062093,57.9,-13.0,-3.9,81.0,57.36,223.1,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55829.400,15:30:29.400,-03,32.3090500,-64.8061496,54.8,-14.4,-3.8,80.2,56.16,223.1,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55829.600,15:30:29.600,-03,32.3090602,-64.8060913,51.5,-15.7,-3.4,79.1,55.26,223.1,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55829.800,15:30:29.800,-03,32.3090710,-64.8060345,48.3,-16.6,-2.8,78.1,53.77,223.1,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55830.000,15:30:30.000,-03,32.3090826,-64.8059794,45.0,-17.0,-2.1,76.7,52.70,223.1,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55830.200,15:30:30.200,-03,32.3090948,-64.8059258,41.6,-17.1,-1.6,75.5,51.24,223.1,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55830.400,15:30:30.400,-03,32.3091077,-64.8058739,38.2,-17.5,-1.2,74.5,50.17,223.1,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55830.600,15:30:30.600,-03,32.3091210,-64.8058238,34.6,-18.0,-1.1,73.1,48.75,223.1,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55830.800,15:30:30.800,-03,32.3091348,-64.8057752,30.9,-18.5,-1.1,71.9,47.51,223.1,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55831.000,15:30:31.000,-03,32.3091490,-64.8057285,27.3,-18.7,-1.0,70.9,46.05,223.1,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55831.200,15:30:31.200,-03,32.3091636,-64.8056834,23.6,-18.7,-1.0,69.8,44.83,223.1,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55831.400,15:30:31.400,-03,32.3091784,-64.8056399,19.9,-18.6,-0.9,68.7,43.62,223.1,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55831.600,15:30:31.600,-03,32.3091932,-64.8055981,15.9,-18.6,-0.8,67.7,42.12,223.1,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55831.800,15:30:31.800,-03,32.3092080,-64.8055579,11.7,-18.5,-0.7,66.9,40.76,223.1,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55832.000,15:30:32.000,-03,32.3092228,-64.8055192,7.3,-18.3,-0.6,65.9,39.32,223.1,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55832.200,15:30:32.200,-03,32.3092374,-64.8054819,3.3,-18.1,-0.5,65.4,38.10,223.1,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55832.400,15:30:32.400,-03,32.3092518,-64.8054462,358.6,-18.2,-0.3,64.8,36.89,223.1,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55832.600,15:30:32.600,-03,32.3092659,-64.8054118,354.5,-18.4,0.2,64.6,35.61,223.1,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55832.800,15:30:32.800,-03,32.3092796,-64.8053788,350.5,-18.2,1.1,64.2,34.37,223.1,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55833.000,15:30:33.000,-03,32.3092930,-64.8053472,346.7,-17.5,2.0,63.8,32.99,223.1,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55833.200,15:30:33.200,-03,32.3093061,-64.8053166,343.5,-16.6,2.8,63.5,31.90,223.1,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55833.400,15:30:33.400,-03,32.3093188,-64.8052871,341.0,-16.4,3.7,63.3,30.89,223.1,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55833.600,15:30:33.600,-03,32.3093312,-64.8052589,339.1,-16.8,4.8,62.7,29.64,223.1,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55833.800,15:30:33.800,-03,32.3093433,-64.8052318,337.2,-16.3,6.1,62.8,28.50,223.1,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55834.000,15:30:34.000,-03,32.3093550,-64.8052058,335.3,-14.7,7.5,62.1,27.49,223.1,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55834.200,15:30:34.200,-03,32.3093664,-64.8051811,333.8,-13.9,8.8,61.7,26.40,223.1,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55834.400,15:30:34.400,-03,32.3093776,-64.8051574,332.8,-14.4,9.8,61.0,25.31,223.1,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55834.600,15:30:34.600,-03,32.3093885,-64.8051350,332.2,-15.7,10.6,60.8,24.24,223.1,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55834.800,15:30:34.800,-03,32.3093990,-64.8051138,331.8,-16.7,11.2,59.7,23.03,223.1,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55835.000,15:30:35.000,-03,32.3094094,-64.8050939,331.5,-17.1,11.6,59.2,21.95,223.1,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55835.200,15:30:35.200,-03,32.3094195,-64.8050752,331.4,-17.4,11.7,58.4,20.88,223.1,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55835.400,15:30:35.400,-03,32.3094293,-64.8050579,331.5,-18.4,11.6,56.7,19.54,223.1,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55835.600,15:30:35.600,-03,32.3094388,-64.8050421,331.7,-19.7,11.5,56.0,18.43,223.1,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55835.800,15:30:35.800,-03,32.3094476,-64.8050280,331.2,-21.4,11.5,53.9,17.09,223.1,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55836.000,15:30:36.000,-03,32.3094561,-64.8050156,329.5,-22.5,12.3,51.8,15.45,223.1,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55836.200,15:30:36.200,-03,32.3094641,-64.8050049,326.4,-22.8,13.5,50.0,13.86,223.1,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55836.400,15:30:36.400,-03,32.3094717,-64.8049959,322.6,-21.3,14.8,48.2,12.15,223.1,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55836.600,15:30:36.600,-03,32.3094792,-64.8049883,319.7,-21.0,16.1,44.4,11.02,223.1,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55836.800,15:30:36.800,-03,32.3094864,-64.8049825,316.7,-19.8,18.3,38.5,9.68,223.1,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55837.000,15:30:37.000,-03,32.3094935,-64.8049784,311.2,-15.2,20.7,32.3,8.90,223.1,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55837.200,15:30:37.200,-03,32.3095006,-64.8049758,304.9,-9.7,23.8,22.4,8.14,223.1,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55837.400,15:30:37.400,-03,32.3095078,-64.8049748,302.0,-9.5,25.4,13.3,7.72,223.1,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55837.600,15:30:37.600,-03,32.3095150,-64.8049762,300.6,-14.1,26.3,359.7,7.52,223.1,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55837.800,15:30:37.800,-03,32.3095218,-64.8049794,299.9,-19.3,26.4,343.7,7.81,223.1,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55838.000,15:30:38.000,-03,32.3095287,-64.8049854,300.5,-20.6,26.0,329.7,8.75,223.1,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55838.200,15:30:38.200,-03,32.3095355,-64.8049941,300.1,-17.6,26.7,318.3,10.03,223.1,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55838.400,15:30:38.400,-03,32.3095416,-64.8050055,298.1,-14.3,27.5,307.9,11.59,223.1,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55838.600,15:30:38.600,-03,32.3095473,-64.8050193,294.8,-12.8,27.9,298.3,12.95,223.1,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55838.800,15:30:38.800,-03,32.3095526,-64.8050355,290.2,-10.8,28.1,292.4,14.71,223.1,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55839.000,15:30:39.000,-03,32.3095576,-64.8050539,285.3,-8.8,28.1,288.5,16.74,223.1,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55839.200,15:30:39.200,-03,32.3095623,-64.8050743,280.5,-7.4,28.8,286.4,18.41,223.1,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55839.400,15:30:39.400,-03,32.3095669,-64.8050967,275.6,-5.9,30.1,284.0,20.39,223.1,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55839.600,15:30:39.600,-03,32.3095712,-64.8051211,271.4,-4.9,31.8,282.6,21.87,223.1,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55839.800,15:30:39.800,-03,32.3095751,-64.8051475,267.3,-3.6,33.4,280.7,23.40,223.1,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55840.000,15:30:40.000,-03,32.3095787,-64.8051757,263.5,-2.6,34.5,279.3,25.33,223.1,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55840.200,15:30:40.200,-03,32.3095816,-64.8052059,260.4,-3.6,35.1,276.9,27.23,223.1,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55840.400,15:30:40.400,-03,32.3095840,-64.8052379,258.2,-5.0,34.9,275.6,28.59,223.1,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL1,02:06:2017,55840.600,15:30:40.600,-03,32.3095856,-64.8052720,256.8,-6.1,34.4,274.5,30.21,223.1,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
